;NV in N- navadna malica;dobavitelj;Vpr -veg.mal. s per. in ribo ;dobavitelj;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
PONEDELJEK;;;;;;;;
21.12.2015;;;;;;;;
;;;;;;;;
;;;;;;;;
;NV in N- navadna malica;dobavitelj;Vpr -veg.mal. s per. in ribo ;dobavitelj;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;sirova štručka (NV velika, N mala);;sirova štručka;;temna bombeta s sezamom;;;
TOREK;piščančja salama;;piščančja salama;;srini namaz, kumare;zelena solata z jajcem in kumaro;;
22.12.2015;kumare po izbiri;;kumare po izbiri;;;eko pirina štručka;;
;sadni jogurt;;sadni jogurt;sadni jogurt;sadni jogurt;jabolčni krhlji;;
;sok;;sok;;sok;sok;;
;NV in N- navadna malica;dobavitelj;Vpr -veg.mal. s per. in ribo ;dobavitelj;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;NV, N hrustljavi kosmiči z oreščki in sadjem ;EG;hrustljavi kosmiči z oreščki in sadjem;EG;hrustljavi kosmiči z oreščki in sadjem;;;
;;LM;mleko;LM; mleko;smoothie;;
SREDA;polnozrnati rogljiček;Postojna;polnozrnati rogljiček;Postojna;polnozrnati rogljiček;polnozrnati rogljiček;;
23.12.2015;mleko (NV 2kos, N 1kos);;;Postojna;;;;
;;;;Fructal;;;;
;;;;;;;;
;NV in N- navadna malica;dobavitelj;Vpr -veg.mal. s per. in ribo ;dobavitelj;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;makova štručka (NV velika, N mala);DonDon;blazinica s posipom;DonDon;blazinica s posipom;eko polnozrnata bombeta;;
ČETRTEK;šunka, sir,list solate;Ham Ham;grška solata;AM;grška solata;grška solata;;
24.12.2015;;AM;;LM, F;;;;
;polnozrnate napolitanke;Postojna;polnozrnate napolitanke;polnozrnate napolitanke;polnozrnate napolitanke;polnozrnate napolitanke;;
;sok;Fructal;sok;Fructal;sok;sok;;
;NV in N- navadna malica;dobavitelj;Vpr -veg.mal. s per. in ribo ;dobavitelj;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;mešana štručka (NV velika, N mala);DD;mešana štručka;DD;koruzna blazinica;;;
PETEK;piščančja hrenovka NV par hrenovk;HH;piščančja hrenovka;HH;brokolijevi polpeti;;;
25.12.2015;gorčica;Merc;gorčica;merc;;melona;;
;češnjev paradižnik po izbiri;LM;češnjev paradižnik po izbiri;češnjev paradižnik po izbiri;češnjev paradižnik po izbiri;oreščki;;
;sok;F;sok;F;sok;sok;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
