;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
PONEDELJEK;lama (velika, mala);eko pirina štručka;koruzna štručka;mala koruzna štručka;;
1.2.2016;kraški pršut, sir;tunin namaz;fižolov namaz;tunina solata;;
;paprika po izbiri;paprika po izbiri;paprika po izbiri;;;
;rezina z oreščki;rezina z oreščki;rezina z oreščki;rezina z oreščki;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;sirova štručka (velika, mala);polnozrnata štručka;polnozrnata štručka;;;
TOREK;mortadela;mu vita namaz;mu vita namaz;jagodni mlečni napitek;;
2.2.2016;kisle kumarice po izbiri;kisle kumarice po izbiri;kisle kumarice po izbiri;;;
;polnozrnati navihanček;polnozrnati navihanček;polnozrnati navihanček;polnozrnati navihanček;;
;voda (bidon);voda (bidon);voda (bidon);voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;;;;;;
SREDA;musli (NV 2kos, N 1 kos);musli (1 kos);musli (1 kos);zelena solata s pečenim sirom;;
3.2.2016;mleko (NV 4 dcl, N 2 dcl);mleko (2 dcl);mleko (2 dcl);rezina eko polnozrnatega kruha;;
;polnozrnati rogljiček;polnozrnati rogljiček;polnozrnati rogljiček;;;
;;;;;;
;voda (bidon);voda (bidon);voda (bidon);voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;temna makovka (velika, mala);;;;;
ČETRTEK;hamurška slanina;;;;;
4.2.2016;list solate;skuta z borovnicami;skuta z borovnicami;skuta z borovnicami;;
;sadni jogurt;ajdovo pecivo z orehi;ajdovo pecivo z orehi;ajdovo pecivo z orehi;;
;sok;sok;sok;sok;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;;;;;;
PETEK;pica burek (NV 1,5 kos, N 1 kos);prosena pogača  s suhimi slivami;prosena pogača  s suhimi slivami;pisane paprike s kumaro in feto;;
5.2.2016;češnjev paradožnik;tekoči probiot.jogurt;tekoči probiot.jogurt;rezina eko koruznega kruha;;
;;;;;;
;sok;sok;sok;voda (bidon);;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
